Doctor ID,Doctor Name,Specialty,Phone Number,Years Of Experience,Hospital Affiliation,Hospital/Clinic,Specialization,Email
89949,Linda Moore,Pediatrics,027.569.6316x99320,16,"Delgado, Oneal and Juarez",Parsons Ltd,Pediatrics,timothy13@cannon-gomez.com
22993,Elizabeth Edwards,Cardiology,690-649-4002x43829,17,Page LLC,Wheeler-Buck,Orthopedics,jennifercarson@hotmail.com
83438,Crystal Taylor,Pediatrics,+1-695-223-4700x1810,21,"Griffith, Maldonado and Todd",Stout-Kirk,Cardiology,ramostara@cummings.biz
44122,Terry Armstrong,Neurology,556-927-3797,5,Cobb Ltd,Zamora-Lewis,General Medicine,donna74@gmail.com
27436,Ivan Dunn,Orthopedics,5607474869,26,Rios-Johnson,"Wood, Scott and James",Cardiology,ibutler@hotmail.com
80119,Rebecca Foster,Neurology,738.903.1015,30,"Thomas, Edwards and York",Morrow PLC,Neurology,jenkinsrachael@hotmail.com
23724,Christine Adams,General Medicine,(732)616-7109,36,Diaz-Perez,Roberts-Johnson,Orthopedics,jacobturner@pierce.com
37222,Leslie Davidson,Pediatrics,(252)818-5104x908,18,"Osborne, Wells and Cortez","Sparks, Odonnell and Smith",Orthopedics,alecgalvan@hotmail.com
15696,Travis Craig,Pediatrics,387-982-8195x51502,37,Carrillo Ltd,Gray Group,General Medicine,palmerjustin@yahoo.com
35539,Angela Castaneda,Pediatrics,910.026.1498x3376,25,"Sexton, Johnson and Diaz",Thornton PLC,General Medicine,hbishop@silva.com
44503,Joseph West,Orthopedics,607.730.4674x57366,29,White-Allen,Robinson Group,General Medicine,vdelgado@hotmail.com
32121,Robin Davila,Orthopedics,900.516.0035,19,Johnston Inc,"Smith, Shaw and Gardner",Neurology,ericrodriguez@forbes-soto.com
81825,Michael Campbell,Orthopedics,+1-280-577-9340x8928,30,"Hughes, Johnson and Jones","Black, Sloan and Wood",Pediatrics,sophia65@yahoo.com
10550,Tammy Potter,Pediatrics,6285937462,31,"Gordon, Bailey and Williams",Williams Inc,Pediatrics,curtismorales@yahoo.com
92015,William Luna,Neurology,522-149-6054,36,Lara Ltd,Mendez-Stanley,Cardiology,tiffanyburns@gmail.com
26192,Jason Vasquez,Cardiology,4748162343,16,Hoffman-Hammond,"Clark, Evans and Morales",Neurology,isabelcarter@hotmail.com
85565,Ashley Gilbert,Pediatrics,(505)350-7402x071,23,"Higgins, Harmon and Burke",Wilson Ltd,Orthopedics,scottanita@hotmail.com
81765,Matthew Smith,General Medicine,779.501.5967x406,2,"Harris, Vang and Avila",Allen-Simmons,General Medicine,johnstonmaria@hotmail.com
4674,Diane Meadows,Neurology,686.895.1153,27,"Nelson, Owens and Kim",Matthews-Robinson,Cardiology,hholland@gmail.com
74052,Jennifer Estrada,Orthopedics,927-623-5218x2214,38,"Bell, Perry and Torres","Ali, Solomon and Wilson",Orthopedics,sydneywilkins@gmail.com
82991,Daniel Wilson,Pediatrics,001-421-360-3095x889,27,"Williams, Davis and Stevenson","Hall, Burns and Higgins",Orthopedics,kimberly44@hotmail.com
24721,Matthew Harris,Orthopedics,5386833636,17,"Moore, Pacheco and Alvarez",Williams-Johnson,Cardiology,rachel83@gmail.com
90054,Justin Dominguez,General Medicine,901.999.8207,33,Jones-Nolan,Rodriguez Inc,Orthopedics,tammybass@duffy-johnson.com
68006,Luis Lee,Pediatrics,+1-089-831-7399x1424,21,"Wolfe, Salazar and Willis",Freeman-Wagner,General Medicine,thompsondevin@hotmail.com
11283,Kevin Franklin,Orthopedics,874-066-7345x197,38,"Grimes, Mckenzie and White",Dominguez-Edwards,General Medicine,johnny90@hart.info
97470,Mark Anderson,Neurology,8327133198,10,"Washington, Rios and Crosby",Williams and Sons,General Medicine,zmyers@hotmail.com
97490,Carol Smith,Cardiology,3136524925,27,"Russell, Randall and Wilson","Burke, Smith and Dixon",Pediatrics,tara31@garcia.com
77232,Wendy Dunn,Orthopedics,417.898.1233x35541,2,Rasmussen and Sons,"Thornton, White and Hart",General Medicine,mmiller@aguirre-berger.biz
40618,Erica Conner PhD,General Medicine,495-018-1082x5850,23,Guerrero Inc,Fernandez-Richard,Pediatrics,jimenezsusan@yahoo.com
